Time_Interval,Sample_Size,Average_Change_Percent,Win_Rate_Percent,Best_Case_Percent,Worst_Case_Percent,Typical_Time
0%,25,0.0,0.0,0.0,0.0,01:00:00
10%,25,0.01,64.0,0.31,-0.34,03:17:00
20%,25,-0.04,52.0,0.51,-0.85,05:35:00
30%,25,-0.01,44.0,0.68,-0.88,07:53:00
40%,25,0.03,52.0,0.78,-0.83,10:11:00
50%,25,-0.01,56.0,0.98,-0.89,12:29:00
60%,25,-0.04,52.0,0.87,-1.0,14:47:00
70%,25,0.02,52.0,1.66,-0.87,17:05:00
80%,25,0.02,52.0,1.6,-1.39,19:23:00
90%,25,0.08,52.0,1.84,-1.09,21:41:00
100%,25,0.06,52.0,2.22,-1.56,23:58:00
